name,audio,video,link,category,quote,quote-link
Sound Bath,/audio/fit/drone.mp3,,,sound-bath,You’ve got to be very mindful if you don’t know where you are going,
Yoga,/audio/fit/yoga.mp3,,,yoga,Yoga is 90% mental and the other half is physical,
Strength,/audio/fit/strength.mp3,,,strength,One’s greatest weakness is not finding the strength in oneself,
Meditation,/audio/fit/meditation.mp3,,,meditation,"When you come to a fork in the road, meditate",
Stretch,/audio/fit/stretch.mp3,,,stretch,How can you think and stretch at the same time?,
Barre,/audio/fit/barre.mp3,,,barre,Grin and barre it,
Boxing,/audio/fit/boxing.mp3,,,boxing,You can observe a lot by just boxing,
Pilates,/audio/fit/pilates.mp3,,,pilates,"In pilates, you don’t know nothing",
Cycling,/audio/fit/cycling.mp3,,,cycling,All cyclists are liars or crybabies,
All,/audio/fit/holdmusic.mp3,,,all,,
