key,spinning-sals,spinning-sal-audio,bizerk-icon,ring-audio,name,title,lower-banner-txt,content-header-txt
biz,image.jpg,test.wav,mic.jpg,phone.wav,Salvatore Barra,Sound Mixer,Want Emails from Sal? Click Here!!!,In  sound  trouble?
fit,foghorn,yall ready for this,namaste-smoking.a8d3f629b1.gif,ring.fit.mp3,Yogi Barra,Fitness Guru,Want Workouts from Sal? Click Here!!!,In  fitness  trouble?
art,spinning.art.png,spinning.art.mp3,paintbrush.png,ring.art.mp3,Salvatore Dali,The Great Masturbator,Want Art from Sal? Click Here!!!,In  art  trouble?
rocks,spinning.rocks.gif,spinning.rocks.mp3,hand.rocks.gif,ring.rocks.mp3,Sal & the Barratones,Maestro,Want Music from Sal? Click Here!!!,In  music  trouble?
games,spinning.games.png,spinning.games.mp3,coin.png,ring.games.mp3,Super Sal Bros.,Hardcore Gamer,Want Games from Sal? Click Here!!!,In  gaming  trouble?
construction,,,,,Hard Hat Sal,Construction Worker,Want Construction from Sal? Click Here!!!,In  construction  trouble?
,,,,,,,,
agency,sal w/ blutooth headset,,,,,,,In  need  of  script?
team,spinning.team.png,spinning.team.mp3,swish.gif,ring.team.mp3,Saleem Abdul-Jabarra,Baller,Want Ball from Sal? Click Here!!!,In  ball  trouble?
horse,,horseneigh.mp3,horse,horsehuff.mp3,Pony Boy,Italian Stallion,Want Horse from Sal? Click Here!!!,Horsin' around?
fish,,,,,Salmon Barracuda,The Great Master Baiter,Want Fish from Sal? Click Here!!!,Gone fishin'?
